Name,Type événement,Date,Date seule,Heure de début,Date de fin,Heure de fin,Durée Evènement,Après-midi / Matin / Journée,Campus,Zone de vacances scolaires,Nb inscrits,Genre (from Inscription),Genre_Inscription_nettoye,Nb présents,Genre (from Présence),Genre_Presence_nettoye,Nb_hommes_presents,Nb_femmes_presents,Nb_non_specifie,🎯 Taux de Participation,🎯 Taux de transformation,Nb présents avec PI signé
JPO_Fréjus_03/09/2025,JPO,3/9/2025 13:30,03/09/2025,13:30,3/9/2025 16:30,16:30,03:00,Après-midi,FRJ,Zone B,8,"homme,femme,homme,femme,homme,femme,homme,homme","homme,femme,homme,femme,homme,femme,homme,homme",5,"homme,homme,homme,homme,homme","homme,homme,homme,homme,homme",5,0,0,"62,50%",80%,4
JPO_Fréjus_19/03/2025,JPO,19/3/2025 13:30,19/03/2025,13:30,19/3/2025 17:00,17:00,03:30,Après-midi,FRJ,Zone B,12,"femme,homme,homme,femme,femme,homme,homme,homme,homme,homme,homme,homme","femme,homme,homme,femme,femme,homme,homme,homme,homme,homme,homme,homme",2,"homme,homme","homme,homme",2,0,0,"16,67%",50%,1
JPO_Fréjus_26/04/2025,JPO,26/4/2025 13:30,26/04/2025,13:30,26/4/2025 17:00,17:00,03:30,Après-midi,FRJ,Zone B,9,"femme,femme,homme,homme,homme,homme,homme,femme","femme,femme,homme,homme,homme,homme,homme,femme",7,"femme,homme,homme,homme,femme,femme","femme,homme,homme,homme,femme,femme",3,3,0,"77,78%","42,86%",3
JPO_Fréjus_20/09/2025,JPO,20/9/2025 09:30,20/09/2025,09:30,20/9/2025 12:30,12:30,03:00,Matin,FRJ,Zone B,12,"homme,femme,femme,homme,homme,femme,homme,homme,homme,femme,homme","homme,femme,femme,homme,homme,femme,homme,homme,homme,femme,homme",4,"homme,femme,homme,femme","homme,femme,homme,femme",2,2,0,"33,33%",25%,1
JPO_Fréjus_07/03/2026,JPO,7/3/2026 09:30,07/03/2026,09:30,7/3/2026 13:00,13:00,03:30,Matin,FRJ,Zone B,4,"homme,homme,homme,homme","homme,homme,homme,homme",3,"homme,homme,homme","homme,homme,homme",3,0,0,"75,00%",0%,0
JPO_Fréjus_17/01/2026,JPO,17/1/2026 09:30,17/01/2026,09:30,17/1/2026 13:00,13:00,03:30,Matin,FRJ,Zone B,7,"femme,homme,homme,homme,femme,femme,homme","femme,homme,homme,homme,femme,femme,homme",2,"homme,femme","homme,femme",1,1,0,"28,57%",0%,0
JPO_Fréjus_07/01/2026,JPO,7/1/2026 13:30,07/01/2026,13:30,7/1/2026 17:00,17:00,03:30,Après-midi,FRJ,Zone B,2,"homme,homme","homme,homme",0,,Non spécifié,0,0,1,"0,00%",0%,0
JPO_Fréjus_10/12/2025,JPO,10/12/2025 13:30,10/12/2025,13:30,10/12/2025 16:30,16:30,03:00,Après-midi,FRJ,Zone B,12,"homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme","homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme",0,,Non spécifié,0,0,1,"0,00%",0%,0
JPO_Fréjus_05/07/2025,JPO,5/7/2025 13:30,05/07/2025,13:30,5/7/2025 17:00,17:00,03:30,Après-midi,FRJ,Zone B,3,"femme,homme,femme","femme,homme,femme",0,,Non spécifié,0,0,1,"0,00%",0%,0
JPO_Fréjus_24/05/2025,JPO,24/5/2025 13:30,24/05/2025,13:30,24/5/2025 17:00,17:00,03:30,Après-midi,FRJ,Zone B,0,,Non spécifié,0,,Non spécifié,0,0,1,"0,00%",0%,0
JPO_Fréjus_14/05/2025,JPO,14/5/2025 13:30,14/05/2025,13:30,14/5/2025 17:00,17:00,03:30,Après-midi,FRJ,Zone B,3,"homme,homme,homme","homme,homme,homme",0,,Non spécifié,0,0,1,"0,00%",0%,0
JPO_Fréjus_09/04/2025,JPO,9/4/2025 13:30,09/04/2025,13:30,9/4/2025 17:00,17:00,03:30,Après-midi,FRJ,Zone B,3,"homme,homme,homme","homme,homme,homme",4,"homme,homme,femme,homme","homme,homme,femme,homme",3,1,0,"133,33%",0%,0
JPO_Fréjus_11/01/2025,JPO,11/1/2025 13:30,11/01/2025,13:30,11/1/2025 17:00,17:00,03:30,Après-midi,FRJ,Zone B,6,"homme,femme,homme,femme,homme","homme,femme,homme,femme,homme",3,"femme,homme,homme","femme,homme,homme",2,1,0,"50,00%",0%,0
JPO_Lille_20/09/2025,JPO,20/9/2025 09:30,20/09/2025,09:30,20/6/2025 12:30,12:30,03:00,Matin,HDF,Zone B,24,"homme,homme,femme,homme,homme,femme,homme,homme,homme,femme,femme,femme,homme,homme,homme,homme,homme,homme,homme,femme,homme,non spécifié,homme,homme","homme,homme,femme,homme,homme,femme,homme,homme,homme,femme,femme,femme,homme,homme,homme,homme,homme,homme,homme,femme,homme,non spécifié,homme,homme",6,"femme,homme,homme,femme,femme,homme","femme,homme,homme,femme,femme,homme",3,3,0,"25,00%","66,67%",4
JPO_Lille_24/05/2025,JPO,24/5/2025 10:00,24/05/2025,10:00,24/5/2025 13:00,13:00,03:00,Matin,HDF,Zone B,3,"homme,homme,femme","homme,homme,femme",4,"homme,femme,homme,femme","homme,femme,homme,femme",2,2,0,"133,33%",50%,2
JPO_Lille_09/04/2025,JPO,9/4/2025 13:30,09/04/2025,13:30,9/4/2025 17:00,17:00,03:30,Après-midi,HDF,Zone B,1,femme,femme,2,"homme,femme","homme,femme",1,1,0,"200,00%",50%,1
JPO_Lille_22/01/2025,JPO,22/1/2025 13:30,22/01/2025,13:30,22/1/2025 17:00,17:00,03:30,Après-midi,HDF,Zone B,8,"homme,homme,homme,homme,homme,homme,homme","homme,homme,homme,homme,homme,homme,homme",2,"homme,homme","homme,homme",2,0,0,"25,00%",50%,1
JPO_Lille_17/01/2026,JPO,17/1/2026 09:30,17/01/2026,09:30,17/1/2026 13:00,13:00,03:30,Matin,HDF,Zone B,44,"homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,femme,femme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,femme,homme,homme,homme,homme","homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,femme,femme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,femme,homme,homme,homme,homme",12,"homme,homme,homme,homme,femme,homme,femme,homme,homme,homme","homme,homme,homme,homme,femme,homme,femme,homme,homme,homme",8,2,0,"27,27%",25%,3
JPO_Lille_05/07/2025,JPO,5/7/2025 10:00,05/07/2025,10:00,5/7/2025 13:00,13:00,03:00,Matin,HDF,Zone B,17,"homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,femme,homme,homme,homme,homme,homme","homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,femme,homme,homme,homme,homme,homme",5,"homme,homme,homme,femme,homme","homme,homme,homme,femme,homme",4,1,0,"29,41%",20%,1
JPO_Lille_19/03/2025,JPO,19/3/2025 13:30,19/03/2025,13:30,19/3/2025 17:00,17:00,03:30,Après-midi,HDF,Zone B,5,"homme,homme,homme,homme,homme","homme,homme,homme,homme,homme",5,"homme,homme,homme,homme,homme","homme,homme,homme,homme,homme",5,0,0,"100,00%",20%,1
JPO_Lille_07/03/2026,JPO,7/3/2026 09:30,07/03/2026,09:30,7/3/2026 13:00,13:00,03:30,Matin,HDF,Zone B,25,"homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme","homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme",5,"homme,homme,homme,homme","homme,homme,homme,homme",4,0,0,"20,00%",0%,0
JPO_Lille_07/01/2026,JPO,7/1/2026 13:30,07/01/2026,13:30,7/1/2026 17:00,17:00,03:30,Après-midi,HDF,Zone B,4,"femme,homme,homme,homme","femme,homme,homme,homme",1,femme,femme,0,1,0,"25,00%",0%,0
JPO_Lille_10/12/2025,JPO,10/12/2025 13:30,10/12/2025,13:30,10/12/2025 16:30,16:30,03:00,Après-midi,HDF,Zone B,65,"homme,non spécifié,homme,homme,homme,homme,homme,homme,homme,femme,femme,femme,femme,homme,homme,femme,homme,femme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,femme,homme,homme,femme,homme,homme,homme,femme,femme,femme,homme,homme,femme,femme,femme,homme,homme,homme,homme,femme,homme,femme,homme,homme,homme,femme,homme,homme,homme,homme,femme","homme,non spécifié,homme,homme,homme,homme,homme,homme,homme,femme,femme,femme,femme,homme,homme,femme,homme,femme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,femme,homme,homme,femme,homme,homme,homme,femme,femme,femme,homme,homme,femme,femme,femme,homme,homme,homme,homme,femme,homme,femme,homme,homme,homme,femme,homme,homme,homme,homme,femme",4,"homme,homme,homme,femme","homme,homme,homme,femme",3,1,0,"6,15%",0%,0
Vis-ma-vie_Lille_23/09/2025,Vis-ma-vie,23/9/2025 10:00,23/09/2025,10:00,23/9/2025 12:00,12:00,02:00,Matin,HDF,Zone B,2,"homme,homme","homme,homme",0,,Non spécifié,0,0,1,"0,00%",0%,0
Vis-ma-vie_Lille_09/09/2025,Vis-ma-vie,9/9/2025 10:00,09/09/2025,10:00,9/9/2025 12:00,12:00,02:00,Matin,HDF,Zone B,0,,Non spécifié,0,,Non spécifié,0,0,1,"0,00%",0%,0
JPO_Lille_03/09/2025,JPO,3/9/2025 13:30,03/09/2025,13:30,3/9/2025 16:30,16:30,03:00,Après-midi,HDF,Zone B,10,"homme,homme,homme,homme,homme,femme,homme,femme,femme,femme","homme,homme,homme,homme,homme,femme,homme,femme,femme,femme",3,"homme,homme,homme","homme,homme,homme",3,0,0,"30,00%",0%,0
Vis-ma-vie_Lille_26/08/2025,Vis-ma-vie,26/8/2025 10:00,26/08/2025,10:00,26/8/2025 12:00,12:00,02:00,Matin,HDF,Zone B,0,,Non spécifié,0,,Non spécifié,0,0,1,"0,00%",0%,0
Vis-ma-vie_Lille_21/08/2025,Vis-ma-vie,21/8/2025 10:00,21/08/2025,10:00,21/8/2025 16:00,16:00,06:00,Journée,HDF,Zone B,0,,Non spécifié,0,,Non spécifié,0,0,1,"0,00%",0%,0
Vis-ma-vie_Lille_14/08/2025,Vis-ma-vie,14/8/2025 10:00,14/08/2025,10:00,14/8/2025 16:00,16:00,06:00,Journée,HDF,Zone B,3,"homme,homme,homme","homme,homme,homme",5,"homme,homme,homme,homme,homme","homme,homme,homme,homme,homme",5,0,0,"166,67%",0%,0
Vis-ma-vie_Lille_07/08/2025,Vis-ma-vie,7/8/2025 10:00,07/08/2025,10:00,7/8/2025 16:00,16:00,06:00,Journée,HDF,Zone B,3,"homme,homme,homme","homme,homme,homme",2,"homme,homme","homme,homme",2,0,0,"66,67%",0%,0
Vis-ma-vie_Lille_31/07/2025,Vis-ma-vie,31/7/2025 10:00,31/07/2025,10:00,31/7/2025 16:00,16:00,06:00,Journée,HDF,Zone B,0,,Non spécifié,0,,Non spécifié,0,0,1,"0,00%",0%,0
Vis-ma-vie_Lille_24/07/2025,Vis-ma-vie,24/7/2025 10:00,24/07/2025,10:00,24/7/2025 16:00,16:00,06:00,Journée,HDF,Zone B,0,,Non spécifié,1,homme,homme,1,0,0,"0,00%",0%,0
