Name,Type événement,Date,Date de fin,Campus,Nb inscrits,Genre (from Inscription),Nb présents,Genre (from Présence),🎯 Taux de Participation,🎯 Taux de transformation,Nb présents avec PI signé
JPO_Lille_17/01/2026,JPO,17/1/2026 09:30,17/1/2026 13:00,HDF,44,"homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,femme,femme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,femme,homme,homme,homme,homme",12,"homme,homme,homme,homme,femme,homme,femme,homme,homme,homme",27.27%,25%,3
JPO_Lille_05/07/2025,JPO,5/7/2025 10:00,5/7/2025 13:00,HDF,17,"homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,femme,homme,homme,homme,homme,homme",5,"homme,homme,homme,femme,homme",29.41%,20%,1
JPO_Lille_19/03/2025,JPO,19/3/2025 13:30,19/3/2025 17:00,HDF,5,"homme,homme,homme,homme,homme",5,"homme,homme,homme,homme,homme",100%,20%,1
JPO_Lille_07/03/2026,JPO,7/3/2026 09:30,7/3/2026 13:00,HDF,25,"homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme",5,"homme,homme,homme,homme",20%,0%,0
JPO_Lille_07/01/2026,JPO,7/1/2026 13:30,7/1/2026 17:00,HDF,4,"femme,homme,homme,homme",1,femme,25%,0%,0
JPO_Lille_10/12/2025,JPO,10/12/2025 13:30,10/12/2025 16:30,HDF,65,"homme,non spécifié,homme,homme,homme,homme,homme,homme,homme,femme,femme,femme,femme,homme,homme,femme,homme,femme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,femme,homme,homme,femme,homme,homme,homme,femme,femme,femme,homme,homme,femme,femme,femme,homme,homme,homme,homme,femme,homme,femme,homme,homme,homme,femme,homme,homme,homme,homme,femme",4,"homme,homme,homme,femme",6.15%,0%,0
Vis-ma-vie_Lille_23/09/2025,Vis-ma-vie,23/9/2025 10:00,23/9/2025 12:00,HDF,2,"homme,homme",0,,0%,0%,0
Vis-ma-vie_Lille_09/09/2025,Vis-ma-vie,9/9/2025 10:00,9/9/2025 12:00,HDF,0,,0,,0%,0%,0
JPO_Lille_03/09/2025,JPO,3/9/2025 13:30,3/9/2025 16:30,HDF,10,"homme,homme,homme,homme,homme,femme,homme,femme,femme,femme",3,"homme,homme,homme",30%,0%,0
Vis-ma-vie_Lille_26/08/2025,Vis-ma-vie,26/8/2025 10:00,26/8/2025 12:00,HDF,0,,0,,0%,0%,0
Vis-ma-vie_Lille_21/08/2025,Vis-ma-vie,21/8/2025 10:00,21/8/2025 16:00,HDF,0,,0,,0%,0%,0
Vis-ma-vie_Lille_14/08/2025,Vis-ma-vie,14/8/2025 10:00,14/8/2025 16:00,HDF,3,"homme,homme,homme",5,"homme,homme,homme,homme,homme",166.67%,0%,0
Vis-ma-vie_Lille_07/08/2025,Vis-ma-vie,7/8/2025 10:00,7/8/2025 16:00,HDF,3,"homme,homme,homme",2,"homme,homme",66.67%,0%,0
Vis-ma-vie_Lille_31/07/2025,Vis-ma-vie,31/7/2025 10:00,31/7/2025 16:00,HDF,0,,0,,0%,0%,0
Vis-ma-vie_Lille_24/07/2025,Vis-ma-vie,24/7/2025 10:00,24/7/2025 16:00,HDF,0,,1,homme,0%,0%,0
JPO_Lille_14/05/2025,JPO,14/5/2025 13:30,14/5/2025 17:00,HDF,5,"homme,homme,homme,femme,homme",2,"homme,homme",40%,0%,0
JPO_Lille_26/04/2025,JPO,26/4/2025 13:30,26/4/2025 17:00,HDF,26,"homme,homme,femme,homme,homme,femme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,femme,femme,homme,femme,femme,homme",4,"homme,femme,homme,homme",15.38%,0%,0
JPO_Lille_11/01/2025,JPO,11/1/2025 13:30,11/1/2025 17:00,HDF,7,"homme,homme,homme,homme,homme,femme",4,"femme,homme,femme",57.14%,0%,0
JPO_Paris_14/01/2026,JPO,14/1/2026 13:30,14/1/2026 16:30,IDF,18,"homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,femme,femme,homme,femme,homme,femme,non spécifié,homme",2,"homme,homme",11.11%,100%,2
Vis-ma-vie_Paris_28/08/2025,Vis-ma-vie,28/8/2025 10:00,28/8/2025 17:00,IDF,8,"homme,homme,homme,femme,homme,homme,homme,homme",7,"homme,homme,homme,femme,homme,homme,homme",87.5%,100%,7
JPO_Paris_20/09/2025,JPO,20/9/2025 09:30,20/9/2025 12:30,IDF,48,"femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,femme,homme,homme,femme,homme,femme,femme,non spécifié,homme,homme,femme,non spécifié,non spécifié,homme,femme,homme,homme,homme",11,"homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme",22.92%,72.73%,8
JPO_Paris_03/09/2025,JPO,3/9/2025 13:30,3/9/2025 16:30,IDF,32,"homme,homme,homme,homme,homme,femme,homme,femme,homme,homme,non spécifié,femme,non spécifié,homme,homme,non spécifié,homme,homme,femme,homme,homme,non spécifié,homme,homme,non spécifié,homme,homme,homme,femme,homme,homme",10,"homme,homme,femme,homme,homme,homme,homme,femme,homme,homme",31.25%,60%,6
JPO_Paris_14/05/2025,JPO,14/5/2025 13:30,14/5/2025 17:00,IDF,18,"homme,homme,femme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme",5,"homme,homme,homme,femme,homme",27.78%,60%,3
JPO_Paris_07/03/2026,JPO,7/3/2026 09:30,7/3/2026 13:00,IDF,30,"homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,non spécifié,homme,homme,homme,homme,femme,homme,homme,homme,femme,homme,femme,femme,homme,femme",2,"homme,homme",6.67%,50%,1
JPO_Paris_09/04/2025,JPO,9/4/2025 13:30,9/4/2025 17:00,IDF,15,"femme,homme,homme,homme,homme,homme,non spécifié,homme,femme,homme,homme,femme,femme,homme,homme",6,"homme,femme,homme,homme,homme,homme",40%,50%,3
JPO_Paris_05/07/2025,JPO,5/7/2025 13:30,5/7/2025 17:00,IDF,29,"homme,homme,femme,homme,femme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme",10,"femme,homme,homme,homme,homme,homme,homme,femme,homme,homme",34.48%,40%,4
JPO_Paris_19/03/2025,JPO,19/3/2025 13:30,19/3/2025 17:00,IDF,28,"femme,femme,homme,homme,homme,homme,homme,homme,femme,femme,homme,homme,femme,femme,homme,homme,homme,homme,femme,homme,femme,femme,homme,homme,homme,homme,homme,homme",5,"homme,homme,homme,femme,homme",17.86%,40%,2
JPO_Paris_22/01/2025,JPO,22/1/2025 13:30,22/1/2025 17:00,IDF,17,"femme,homme,homme,homme,homme,femme,homme,non spécifié,femme,homme,homme,non spécifié,femme,homme,homme,homme,homme",5,"femme,homme,homme,femme,homme",29.41%,40%,2
JPO_Paris_24/05/2025,JPO,24/5/2025 13:30,24/5/2025 17:00,IDF,18,"homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme",6,"homme,homme,homme,homme,homme,homme",33.33%,33.33%,2
JPO_Paris_26/04/2025,JPO,26/4/2025 13:30,26/4/2025 17:00,IDF,48,"homme,non spécifié,homme,femme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,femme,homme,non spécifié,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,femme,homme,homme,homme,homme,homme",11,"homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme",22.92%,27.27%,3
JPO_Paris_17/01/2026,JPO,17/1/2026 09:30,17/1/2026 13:00,IDF,24,"homme,femme,homme,homme,homme,homme,femme,femme,femme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme",8,"homme,homme,homme,homme,homme,homme,homme,femme",33.33%,25%,2
JPO_Paris_11/01/2025,JPO,11/1/2025 13:30,11/1/2025 17:00,IDF,13,"femme,homme,homme,non spécifié,non spécifié,non spécifié,femme,homme,femme",4,"homme,femme,femme",30.77%,25%,1
JPO_Paris_07/01/2026,JPO,7/1/2026 13:30,7/1/2026 17:00,IDF,19,"homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,femme,femme,homme,femme,homme,femme,non spécifié,homme",0,,0%,0%,0
JPO_Paris_10/12/2025,JPO,10/12/2025 13:30,10/12/2025 16:30,IDF,40,"femme,homme,femme,homme,homme,femme,homme,homme,non spécifié,homme,homme,non spécifié,homme,femme,homme,femme,femme,homme,homme,femme,homme,homme,homme,homme,femme,homme,homme,non spécifié,homme,homme,femme,homme,femme,homme,homme,homme,homme,femme,homme",9,"homme,homme,homme,femme,homme,homme,homme,homme,femme",22.5%,0%,0
Journee_immersive_Paris_25/09/2025,Journee_immersive,25/9/2025 14:00,25/9/2025 16:30,IDF,3,"homme,homme",0,,0%,0%,0
Vis-ma-vie_Paris_28/07/2025,Vis-ma-vie,28/7/2025 10:00,28/7/2025 17:00,IDF,0,,0,,0%,0%,0
JPO_Laval_07/01/2026,JPO,7/1/2026 13:30,7/1/2026 17:00,LVA,2,"homme,homme",1,homme,50%,100%,1
Vis-ma-vie_Laval_14/08/2025,Vis-ma-vie,14/8/2025 10:00,14/8/2025 16:00,LVA,1,homme,1,homme,100%,100%,1
JPO_Laval_10/12/2025,JPO,10/12/2025 09:30,10/12/2025 12:30,LVA,3,"femme,femme,femme",3,"femme,femme,femme",100%,66.67%,2
JPO_Laval_03/09/2025,JPO,3/9/2025 13:30,3/9/2025 16:30,LVA,3,"homme,homme,homme",3,"homme,homme,homme",100%,66.67%,2
JPO_Laval_05/07/2025,JPO,5/7/2025 09:30,5/7/2025 12:30,LVA,4,"homme,homme,homme",2,"homme,homme",50%,50%,1
JPO_Laval_22/01/2025,JPO,22/1/2025 13:30,22/1/2025 17:00,LVA,2,"homme,homme",2,"homme,homme",100%,50%,1
JPO_Laval_07/03/2026,JPO,7/3/2026 09:30,7/3/2026 13:00,LVA,7,"homme,femme,homme,homme,homme,homme,homme",3,"homme,homme,homme",42.86%,33.33%,1
JPO_Laval_11/01/2025,JPO,11/1/2025 09:30,11/1/2025 12:30,LVA,3,"homme,homme,femme",3,"femme,homme,homme",100%,33.33%,1
JPO_Laval_14/05/2025,JPO,14/5/2025 13:30,14/5/2025 17:00,LVA,6,"homme,homme,homme,femme,femme,homme",4,"homme,femme,homme,homme",66.67%,25%,1
JPO_Laval_26/04/2025,JPO,26/4/2025 09:30,26/4/2025 12:30,LVA,6,"femme,homme,homme,homme,femme,homme",6,"homme,homme,homme,homme,femme,homme",100%,16.67%,1
JPO_Laval_17/01/2026,JPO,17/1/2026 09:30,17/1/2026 13:00,LVA,0,,0,,0%,0%,0
Vis-ma-vie_Laval_25/09/2025,Vis-ma-vie,25/9/2025 10:00,25/9/2025 16:00,LVA,0,,0,,0%,0%,0
JPO_Laval_20/09/2025,JPO,20/9/2025 09:30,20/9/2025 12:30,LVA,1,homme,0,,0%,0%,0
Vis-ma-vie_Laval_11/09/2025,Vis-ma-vie,11/9/2025 10:00,11/9/2025 16:00,LVA,0,,0,,0%,0%,0
Vis-ma-vie_Laval_28/08/2025,Vis-ma-vie,28/8/2025 10:00,28/8/2025 16:00,LVA,0,,0,,0%,0%,0
Vis-ma-vie_Laval_21/08/2025,Vis-ma-vie,21/8/2025 10:00,21/8/2025 16:00,LVA,0,,0,,0%,0%,0
Vis-ma-vie_Laval_07/08/2025,Vis-ma-vie,7/8/2025 10:00,7/8/2025 16:00,LVA,1,homme,0,,0%,0%,0
Vis-ma-vie_Laval_31/07/2025,Vis-ma-vie,31/7/2025 10:00,31/7/2025 16:00,LVA,0,,0,,0%,0%,0
Vis-ma-vie_Laval_24/07/2025,Vis-ma-vie,24/7/2025 10:00,24/7/2025 16:00,LVA,0,,0,,0%,0%,0
JPO_Laval_24/05/2025,JPO,24/5/2025 09:30,24/5/2025 12:30,LVA,0,,0,,0%,0%,0
JPO_Laval_09/04/2025,JPO,9/4/2025 13:30,9/4/2025 17:00,LVA,5,"homme,homme,homme,homme,homme",3,"homme,homme,homme",60%,0%,0
JPO_Laval_19/03/2025,JPO,19/3/2025 10:00,19/3/2025 12:00,LVA,4,"homme,homme,homme,homme",1,homme,25%,0%,0
JPO_Macon_17/09/2025,JPO,17/9/2025 13:30,17/9/2025 16:30,MCN,14,"femme,femme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme",10,"homme,femme,homme,homme,femme,homme,homme,homme,homme",71.43%,60%,6
JPO_Macon_24/09/2025,JPO,24/9/2025 13:30,24/9/2025 16:30,MCN,5,"homme,homme,homme,femme,homme",1,homme,20%,0%,0
JPO_Rodez_07/01/2026,JPO,7/1/2026 13:30,7/1/2026 17:00,RDZ,2,"homme,homme",1,homme,50%,100%,1
JPO_Rodez_08/01/2025,JPO,8/1/2025 14:30,8/1/2025 16:30,RDZ,8,"homme,homme,homme,femme,homme,homme,homme",1,homme,12.5%,100%,1
