Name,Type événement,Date,Date de fin,Campus,Nb inscrits,Genre (from Inscription),Nb présents,Genre (from Présence),🎯 Taux de Participation,🎯 Taux de transformation,Nb présents avec PI signé
JPO_Thonon-les-Bains_07/01/2026,JPO,7/1/2026 13:30,7/1/2026 17:00,THO,4,"homme,femme,femme",1,homme,25%,100%,1
JPO_Thonon-les-Bains_22/01/2025,JPO,22/1/2025 13:30,22/1/2025 17:00,THO,5,"homme,femme,homme,homme,femme",1,homme,20%,100%,1
JPO_Thonon-les-Bains_14/05/2025,JPO,14/5/2025 13:30,14/5/2025 17:00,THO,7,"homme,homme,femme,homme,homme,homme,homme",5,"homme,homme,homme,femme,homme",71.43%,60%,3
JPO_Thonon-les-Bains_03/09/2025,JPO,3/9/2025 13:30,3/9/2025 16:30,THO,3,"homme,homme,homme",4,"homme,homme,homme,femme",133.33%,50%,2
JPO_Thonon-les-Bains_24/05/2025,JPO,24/5/2025 09:00,24/5/2025 12:30,THO,10,"femme,homme,homme,homme,femme,homme,homme,homme,homme,homme",5,"homme,homme,homme,femme,homme",50%,40%,2
JPO_Thonon-les-Bains_10/12/2025,JPO,10/12/2025 13:30,10/12/2025 16:30,THO,10,"homme,homme,homme,homme,homme,homme,homme,homme,homme,homme",3,"homme,homme,homme",30%,33.33%,1
JPO_Thonon-les-Bains_09/04/2025,JPO,9/4/2025 13:30,9/4/2025 17:00,THO,11,"homme,homme,femme,homme,non spécifié,homme,homme,homme,femme,homme,homme",6,"homme,homme,homme,homme,homme,homme",54.55%,33.33%,2
JPO_Thonon-les-Bains_20/09/2025,JPO,20/9/2025 09:30,20/9/2025 12:30,THO,12,"homme,homme,homme,homme,femme,homme,homme,homme,homme,homme",7,"homme,homme,femme,homme,homme,homme,homme",58.33%,28.57%,2
JPO_Thonon-les-Bains_11/01/2025,JPO,11/1/2025 09:00,11/1/2025 12:30,THO,8,"homme,femme,homme,femme,homme,homme,femme,femme",7,"homme,femme,homme,homme,homme,femme,femme",87.5%,28.57%,2
JPO_Thonon-les-Bains_19/04/2025,JPO,19/4/2025 09:00,26/4/2025 12:30,THO,11,"homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,homme",6,"homme,homme,homme,homme,femme,homme",54.55%,16.67%,1
JPO_Thonon-les-Bains_19/03/2025,JPO,19/3/2025 13:30,19/3/2025 17:00,THO,19,"homme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,femme,homme,femme,homme,homme,homme,homme,femme",7,"femme,homme,homme,femme,femme,homme,homme",36.84%,14.29%,1
JPO_Thonon-les-Bains_07/03/2026,JPO,7/3/2026 09:30,7/3/2026 13:00,THO,7,"homme,homme,femme,homme,homme,femme,homme",5,"femme,homme,femme,homme,homme",71.43%,0%,0
JPO_Thonon-les-Bains_17/01/2026,JPO,17/1/2026 09:30,17/1/2026 13:00,THO,7,"femme,femme,homme,homme,femme",4,"homme,femme,homme",57.14%,0%,0
Vis-ma-vie_Thonon-les-Bains_25/09/2025,Vis-ma-vie,25/9/2025 10:00,25/9/2025 16:00,THO,2,homme,0,,0%,0%,0
Vis-ma-vie_Thonon-les-Bains_11/09/2025,Vis-ma-vie,11/9/2025 10:00,11/9/2025 16:00,THO,0,,0,,0%,0%,0
Vis-ma-vie_Thonon-les-Bains_28/08/2025,Vis-ma-vie,28/8/2025 10:00,28/8/2025 16:00,THO,0,,0,,0%,0%,0
Vis-ma-vie_Thonon-les-Bains_21/08/2025,Vis-ma-vie,21/8/2025 10:00,21/8/2025 16:00,THO,0,,0,,0%,0%,0
Vis-ma-vie_Thonon-les-Bains_14/08/2025,Vis-ma-vie,14/8/2025 10:00,14/8/2025 16:00,THO,0,,0,,0%,0%,0
Vis-ma-vie_Thonon-les-Bains_07/08/2025,Vis-ma-vie,7/8/2025 10:00,7/8/2025 16:00,THO,0,,0,,0%,0%,0
Vis-ma-vie_Thonon-les-Bains_31/07/2025,Vis-ma-vie,31/7/2025 10:00,31/7/2025 16:00,THO,0,,0,,0%,0%,0
Vis-ma-vie_Thonon-les-Bains_24/07/2025,Vis-ma-vie,24/7/2025 10:00,24/7/2025 16:00,THO,0,,0,,0%,0%,0
JPO_Thonon-les-Bains_05/07/2025,JPO,5/7/2025 09:00,5/7/2025 12:30,THO,10,"homme,homme,homme,homme,homme,femme,homme,femme,femme,homme",5,"homme,femme,homme,homme,homme",50%,0%,0
JPO_Toulouse_03/09/2025,JPO,3/9/2025 13:30,3/9/2025 16:30,TLS,12,"homme,femme,femme,homme,homme,homme,femme,homme,homme,homme,homme",6,"homme,homme,femme,homme,homme,homme",50%,66.67%,4
JPO_Toulouse_24/05/2025,JPO,24/5/2025 13:30,24/5/2025 17:00,TLS,12,"homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme",6,"homme,homme,homme,homme,homme,homme",50%,66.67%,4
JPO_Toulouse_14/05/2025,JPO,14/5/2025 13:30,14/5/2025 17:00,TLS,16,"homme,homme,homme,homme,homme,homme,homme,homme,homme,femme,femme,femme,homme,homme,homme,homme",8,"homme,homme,homme,femme,homme,homme,homme,femme",50%,50%,4
JPO_Toulouse_07/01/2026,JPO,7/1/2026 13:30,7/1/2026 17:00,TLS,18,"homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,femme,homme,femme,homme,femme",8,"femme,homme,homme,homme,femme,homme,homme",44.44%,37.5%,3
JPO_Toulouse_17/01/2026,JPO,17/1/2026 09:30,17/1/2026 13:00,TLS,19,"homme,femme,homme,homme,femme,femme,femme,homme,femme,homme,homme,homme,homme,homme,homme,homme",6,"homme,homme,homme,homme,homme",31.58%,33.33%,2
JPO_Toulouse_10/12/2025,JPO,10/12/2025 13:30,10/12/2025 16:30,TLS,16,"homme,homme,homme,homme,femme,homme,homme,femme,homme,homme,homme,homme",6,"homme,homme,homme,homme",37.5%,33.33%,2
JPO_Toulouse_09/04/2025,JPO,9/4/2025 13:30,9/4/2025 17:00,TLS,16,"homme,femme,homme,homme,femme,homme,homme,femme,femme,homme,femme,femme,homme,homme,homme,homme",6,"homme,homme,femme,homme,homme,homme",37.5%,33.33%,2
JPO_Toulouse_11/01/2025,JPO,11/1/2025 13:30,11/1/2025 17:00,TLS,11,"homme,homme,femme,femme,homme,homme,femme,homme,femme,femme,homme",6,"homme,femme,homme,femme,femme,homme",54.55%,33.33%,2
Journee_immersive_Toulouse_10/03/2026,Journee_immersive,10/3/2026 09:30,12/3/2026 16:00,TLS,0,,4,"femme,homme,homme,homme",0%,25%,1
JPO_Toulouse_07/03/2026,JPO,7/3/2026 09:30,7/3/2026 13:00,TLS,12,"homme,femme,femme,homme,homme,homme,homme,femme,non spécifié,femme,femme",4,"femme,homme,homme",33.33%,25%,1
JPO_Toulouse_19/03/2025,JPO,19/3/2025 13:30,19/3/2025 17:00,TLS,27,"homme,femme,homme,femme,homme,homme,femme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme",13,"homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme",48.15%,23.08%,3
JPO_Toulouse_20/09/2025,JPO,20/9/2025 09:30,20/9/2025 12:30,TLS,30,"homme,homme,homme,femme,homme,femme,homme,homme,homme,non spécifié,homme,homme,femme,homme,homme,femme,homme,homme,femme,homme,femme,femme,homme,homme,homme,homme",11,"homme,homme,femme,homme,homme,homme,femme,homme,femme",36.67%,18.18%,2
JPO_Toulouse_26/04/2025,JPO,26/4/2025 13:30,26/4/2025 17:00,TLS,40,"femme,homme,femme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,homme,femme,homme,homme,homme,homme,homme,homme,homme,femme,homme,femme,homme,femme,homme,femme,femme,homme,homme,femme,homme,homme,homme,homme,femme,homme",14,"homme,homme,homme,femme,femme,homme,homme,homme,femme,homme,homme,femme,femme,homme",35%,14.29%,2
Journee_immersive_Toulouse_24/02/2026,Journee_immersive,24/2/2026 09:00,25/2/2026 17:00,TLS,0,,5,"homme,femme,homme,homme,homme",0%,0%,0
Journee_immersive_Toulouse_13/01/2026,Journee_immersive,13/1/2026 09:00,15/1/2026 17:00,TLS,0,,3,"homme,femme,homme",0%,0%,0
JPO_Toulouse_05/07/2025,JPO,5/7/2025 13:30,5/7/2025 17:00,TLS,16,"homme,femme,homme,homme,homme,homme,femme,homme,homme,femme,femme,homme,homme,femme,femme,homme",0,,0%,0%,0
JPO_Toulouse_22/01/2025,JPO,22/1/2025 13:30,22/1/2025 17:00,TLS,14,"homme,homme,homme,femme,femme,femme,femme,homme,non spécifié,homme,homme,femme,homme,femme",6,"homme,homme,femme,femme,femme,homme",42.86%,0%,0
