type_periode,total_evenements,total_inscrits,total_presents,total_convertis,taux_presence,taux_transformation_presents,taux_conversion_global
Semaine,132,897,374,130,41.69,34.76,14.49
Week-end,65,821,278,74,33.86,26.62,9.01
