statut_vacances,total_evenements,total_inscrits,total_presents,total_convertis,taux_presence,taux_transformation_presents,taux_conversion_global
Hors vacances,142,1439,532,175,36.97,32.89,12.16
Vacances scolaires,55,279,120,29,43.01,24.17,10.39
